,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,2018-12-13,AMARAJABAT,EQ,732.45,734.0,742.0,720.75,730.2,728.95,732.32,290498,21273881810000.0,11189,33243,0.1144
1,2018-12-14,AMARAJABAT,EQ,728.95,730.4,738.9,725.25,733.6,734.55,734.92,229710,16881920740000.0,6785,53469,0.2328
2,2018-12-17,AMARAJABAT,EQ,734.55,741.9,741.9,723.5,737.55,737.6,732.66,334646,24518007170000.0,12687,69172,0.20670000000000002
3,2018-12-18,AMARAJABAT,EQ,737.6,736.0,748.0,730.6,734.65,734.15,740.22,330220,24443396300000.0,10375,58861,0.1782
4,2018-12-19,AMARAJABAT,EQ,734.15,741.55,758.0,728.65,748.4,749.35,742.36,603109,44772380355000.0,22530,135497,0.22469999999999998
5,2018-12-20,AMARAJABAT,EQ,749.35,748.0,754.25,741.15,745.0,745.65,748.22,241501,18069679510000.0,7236,35894,0.1486
6,2018-12-21,AMARAJABAT,EQ,745.65,742.05,749.95,737.0,745.7,743.25,742.67,538998,40029751805000.0,15758,309254,0.5738000000000001
0,2018-12-13,AMBUJACEM,EQ,215.95,216.2,220.65,216.15,219.25,218.7,218.5,2819659,61608238495000.01,72833,1410664,0.5003
1,2018-12-14,AMBUJACEM,EQ,218.7,223.6,224.85,218.2,218.95,219.45,220.5,5023903,110779442275000.0,52143,1757698,0.34990000000000004
2,2018-12-17,AMBUJACEM,EQ,219.45,219.55,221.15,217.35,219.5,218.75,219.33,1236838,27127196580000.0,17884,336551,0.2721
3,2018-12-18,AMBUJACEM,EQ,218.75,219.25,220.95,218.0,220.5,219.65,219.21,1565567,34318523539999.996,14868,846823,0.5409
4,2018-12-19,AMBUJACEM,EQ,219.65,221.1,230.65,220.55,228.5,227.25,226.33,6142902,139034594265000.02,51801,1993192,0.3245
5,2018-12-20,AMBUJACEM,EQ,227.25,225.95,229.5,223.45,225.15,225.1,226.71,2215666,50230930275000.0,19847,432139,0.195
6,2018-12-21,AMBUJACEM,EQ,225.1,225.25,226.2,219.3,220.35,220.7,221.86,1677202,37210996375000.0,20590,562513,0.3354
0,2018-12-13,APOLLOHOSP,EQ,1215.5,1215.0,1240.0,1210.0,1219.25,1222.15,1228.8,314906,38695561510000.0,21738,52391,0.16640000000000002
1,2018-12-14,APOLLOHOSP,EQ,1222.15,1228.0,1262.0,1221.6,1245.95,1248.3,1247.39,552532,68922282195000.01,31837,121385,0.2197
2,2018-12-17,APOLLOHOSP,EQ,1248.3,1246.0,1253.0,1210.1,1218.5,1217.05,1227.92,493775,60631569200000.0,31444,141817,0.2872
3,2018-12-18,APOLLOHOSP,EQ,1217.05,1219.0,1228.0,1200.0,1225.5,1226.1,1214.3,454828,55229861700000.0,27764,127269,0.2798
4,2018-12-19,APOLLOHOSP,EQ,1226.1,1228.0,1254.7,1215.05,1241.9,1244.7,1238.38,446235,55260899940000.0,19124,107481,0.2409
5,2018-12-20,APOLLOHOSP,EQ,1244.7,1237.9,1275.0,1232.05,1274.95,1267.55,1263.24,476760,60226011625000.0,25920,73616,0.1544
6,2018-12-21,APOLLOHOSP,EQ,1267.55,1273.9,1283.45,1244.05,1254.0,1252.4,1255.05,450623,56555637004999.99,23465,91082,0.2021
0,2018-12-13,APOLLOTYRE,EQ,237.85,239.7,239.7,233.0,235.5,234.45,235.22,1430472,33647317680000.0,17500,501982,0.35090000000000005
1,2018-12-14,APOLLOTYRE,EQ,234.45,235.0,237.35,230.5,234.3,235.1,233.91,2118894,49562769750000.0,26072,530950,0.2506
2,2018-12-17,APOLLOTYRE,EQ,235.1,235.0,236.6,231.7,234.25,234.8,234.31,1484694,34787951405000.0,17454,366952,0.2472
3,2018-12-18,APOLLOTYRE,EQ,234.8,234.7,242.3,233.2,235.4,235.55,237.04,4136850,98059533330000.0,36824,521117,0.126
4,2018-12-19,APOLLOTYRE,EQ,235.55,237.1,240.2,236.8,239.8,239.65,238.84,2910445,69512397590000.0,35966,908103,0.312
5,2018-12-20,APOLLOTYRE,EQ,239.65,241.35,244.85,238.2,239.5,239.55,241.75,6293860,152151475640000.0,53779,1340064,0.2129
6,2018-12-21,APOLLOTYRE,EQ,239.55,243.0,243.0,232.1,233.55,233.4,235.07,3965309,93211635850000.0,36706,1172449,0.2957
0,2018-12-13,ARVIND,EQ,102.2,103.65,104.45,100.8,102.0,101.9,102.58,5248626,53838627615000.0,33476,899496,0.1714
1,2018-12-14,ARVIND,EQ,101.9,102.2,102.3,99.15,99.8,99.9,100.38,5440999,54618580760000.0,28692,861197,0.1583
2,2018-12-17,ARVIND,EQ,99.9,100.45,100.9,98.6,99.0,98.95,99.54,2739688,27270768300000.0,20775,621518,0.22690000000000002
3,2018-12-18,ARVIND,EQ,98.95,99.0,100.05,97.5,98.4,98.25,98.5,4257935,41939243895000.0,25165,1108663,0.2604
4,2018-12-19,ARVIND,EQ,98.25,99.0,101.55,98.5,100.8,100.9,100.29,4317964,43305558235000.0,38086,1233819,0.2857
5,2018-12-20,ARVIND,EQ,100.9,100.35,101.4,99.05,99.5,99.65,100.23,2908809,29154764050000.0,19352,493965,0.1698
6,2018-12-21,ARVIND,EQ,99.65,99.9,100.5,98.1,98.55,98.6,98.97,3337926,33035891995000.0,17103,935503,0.2803
0,2018-12-13,ASHOKLEY,EQ,105.15,106.95,106.95,103.75,104.5,104.4,105.36,14387333,151587048925000.0,64521,3072779,0.2136
1,2018-12-14,ASHOKLEY,EQ,104.4,103.65,105.05,103.0,104.05,104.05,103.93,12567569,130618033625000.0,53875,2710547,0.2157
2,2018-12-17,ASHOKLEY,EQ,104.05,104.75,106.3,104.4,106.0,106.0,105.48,11255782,118721847484999.98,48824,2743728,0.2438
3,2018-12-18,ASHOKLEY,EQ,106.0,105.4,105.8,104.0,104.75,104.8,104.82,10904597,114298253009999.98,41378,2055756,0.18850000000000003
4,2018-12-19,ASHOKLEY,EQ,104.8,105.1,108.5,105.1,108.4,107.7,106.88,18023307,192632332055000.0,62339,7133529,0.3958
5,2018-12-20,ASHOKLEY,EQ,107.7,107.35,108.9,105.85,106.5,106.15,106.97,14677973,157008715010000.0,56228,4242931,0.2891
6,2018-12-21,ASHOKLEY,EQ,106.15,106.45,107.0,103.55,105.25,105.35,104.84,19003345,199229871960000.0,71830,6768277,0.35619999999999996
0,2018-12-13,ASIANPAINT,EQ,1330.9,1338.45,1343.2,1316.0,1318.0,1320.2,1324.34,1175211,155637408810000.0,55764,787459,0.6701
1,2018-12-14,ASIANPAINT,EQ,1320.2,1332.8,1351.0,1320.0,1339.0,1340.95,1340.73,1869410,250637448469999.97,46961,860432,0.46030000000000004
2,2018-12-17,ASIANPAINT,EQ,1340.95,1340.0,1344.95,1330.0,1335.15,1335.85,1335.83,665295,88872321910000.0,58421,354682,0.5331
3,2018-12-18,ASIANPAINT,EQ,1335.85,1338.45,1361.0,1327.55,1360.4,1355.7,1343.27,1581385,212423393975000.0,41443,1005185,0.6356
4,2018-12-19,ASIANPAINT,EQ,1355.7,1370.0,1406.8,1370.0,1400.0,1400.25,1394.64,3334213,465001654110000.06,99301,1439812,0.4318
5,2018-12-20,ASIANPAINT,EQ,1400.25,1389.9,1431.55,1389.05,1428.5,1425.8,1420.84,2578234,366325291765000.0,66045,1121911,0.4351
6,2018-12-21,ASIANPAINT,EQ,1425.8,1433.9,1433.9,1382.3,1389.7,1388.2,1397.19,2098064,293139199255000.0,78398,1168428,0.5569
0,2018-12-13,AUROPHARMA,EQ,740.0,751.1,758.5,742.2,748.6,750.6,749.93,2447845,183570178180000.0,68203,455818,0.1862
1,2018-12-14,AUROPHARMA,EQ,750.6,743.85,745.7,715.2,725.9,726.2,727.98,5550675,404079551670000.0,88528,1535410,0.2766
2,2018-12-17,AUROPHARMA,EQ,726.2,740.0,750.75,733.1,744.55,745.65,741.53,4377862,324630817285000.0,98002,1437417,0.3283
3,2018-12-18,AUROPHARMA,EQ,745.65,740.0,741.5,729.4,735.0,735.7,735.67,2089344,153706958395000.0,54106,559385,0.2677
4,2018-12-19,AUROPHARMA,EQ,735.7,736.5,740.6,730.65,733.3,734.35,735.34,1854837,136393801515000.02,54308,505113,0.2723
5,2018-12-20,AUROPHARMA,EQ,734.35,727.0,736.0,721.1,726.0,725.6,728.59,2996084,218292736715000.0,58001,1291875,0.43119999999999997
6,2018-12-21,AUROPHARMA,EQ,725.6,726.0,732.5,714.15,719.0,720.65,722.89,2495340,180386771435000.0,63913,666012,0.2669
0,2018-12-13,AXISBANK,EQ,619.95,624.8,625.9,616.15,618.9,619.1,620.32,7419355,460236015500000.0,71867,4203760,0.5666
1,2018-12-14,AXISBANK,EQ,619.1,619.1,623.0,611.3,620.3,620.25,616.1,4165047,256607581985000.0,81978,1647512,0.3956
2,2018-12-17,AXISBANK,EQ,620.25,622.55,624.5,616.15,616.5,617.15,618.64,4843342,299629523635000.0,73481,2652520,0.5477000000000001
3,2018-12-18,AXISBANK,EQ,617.15,617.65,621.8,613.85,618.8,619.4,618.37,8492688,525163539750000.0,102617,5640935,0.6642
4,2018-12-19,AXISBANK,EQ,619.4,624.25,651.65,619.15,640.0,641.65,638.19,16759139,1069548724129999.9,165568,7360460,0.43920000000000003
5,2018-12-20,AXISBANK,EQ,641.65,636.95,646.9,629.0,633.3,632.95,635.05,11004125,698820746075000.0,130935,4218429,0.3833
